FunctionName,Mean,Mode,Min,Max
FastParserOriginal,8.7,7,7,13
FastParserOriginal,9.2,9,5,16
FastParserOriginal,8.2,7,0,17
FastParserOriginal,8.6,10,3,16
FastParserOriginal,9.8,8,8,14
FastParserOriginal,9.4,8,3,16
FastParserOriginal,8.3,8,0,20
FastParserOriginal,9.2,0,0,19
FastParserOriginal,8.4,8,3,17
FastParserOriginal,8.4,7,0,16
FastParserBareBones,9.1,7,0,17
FastParserBareBones,8.8,10,0,16
FastParserBareBones,8.9,7,5,14
FastParserBareBones,8.7,7,2,15
FastParserBareBones,9.5,10,0,17
FastParserBareBones,9.8,11,3,21
FastParserBareBones,8.7,7,5,15
FastParserBareBones,9.1,7,0,20
FastParserBareBones,9.2,11,5,13
FastParserBareBones,8.7,8,4,13
FastParserBareBonesSwitch,9.2,12,6,12
FastParserBareBonesSwitch,9.2,10,0,18
FastParserBareBonesSwitch,9.1,10,3,13
FastParserBareBonesSwitch,8.9,8,6,16
FastParserBareBonesSwitch,8.6,8,6,12
FastParserBareBonesSwitch,8.9,11,3,16
FastParserBareBonesSwitch,9.3,0,0,17
FastParserBareBonesSwitch,8.5,10,0,16
FastParserBareBonesSwitch,8.9,10,3,15
FastParserBareBonesSwitch,10.7,12,8,13
FastParserOptimised,9.9,8,6,16
FastParserOptimised,10,12,4,16
FastParserOptimised,9.6,9,2,15
FastParserOptimised,8.8,8,0,17
FastParserOptimised,8.6,10,0,18
FastParserOptimised,9.2,7,5,15
FastParserOptimised,8.9,7,5,14
FastParserOptimised,8.9,10,0,17
FastParserOptimised,9.8,9,8,14
FastParserOptimised,8.7,9,0,18
CustomBRCParserChatGPT,12.3,11,3,30
CustomBRCParserChatGPT,14.4,13,11,18
CustomBRCParserChatGPT,13.5,11,7,20
CustomBRCParserChatGPT,11.9,12,4,22
CustomBRCParserChatGPT,12.7,20,8,20
CustomBRCParserChatGPT,11.1,10,6,14
CustomBRCParserChatGPT,11.6,10,4,18
CustomBRCParserChatGPT,13.7,15,7,22
CustomBRCParserChatGPT,16,15,10,21
CustomBRCParserChatGPT,11.7,11,8,19
StandardParseFloat,27.8,30,20,41
StandardParseFloat,27.2,26,20,34
StandardParseFloat,31.9,30,23,47
StandardParseFloat,28.7,28,21,37
StandardParseFloat,29.3,30,19,43
StandardParseFloat,29.1,30,22,39
StandardParseFloat,32.5,37,20,39
StandardParseFloat,31.1,30,20,42
StandardParseFloat,30.4,31,19,42
StandardParseFloat,28.2,31,20,34
