FunctionName,Mean,Mode,Min,Max
FastParserOriginal,42.86,41,30,57
FastParserOriginal,43.5,41,32,62
FastParserOriginal,44.14,41,33,61
FastParserOriginal,44.54,41,34,68
FastParserOriginal,44.03,41,33,62
FastParserOriginal,44.04,40,33,61
FastParserOriginal,59.98,51,38,95
FastParserOriginal,59.8,51,37,105
FastParserOriginal,59.17,61,34,95
FastParserOriginal,52.91,51,30,79
FastParserOriginal,51.6,50,38,81
FastParserOriginal,55.22,51,40,74
FastParserOriginal,46.11,41,31,66
FastParserOriginal,47.49,41,31,72
FastParserOriginal,48.41,51,34,145
FastParserOriginal,49.62,49,33,121
FastParserOriginal,45.67,41,35,69
FastParserOriginal,50.53,48,37,72
FastParserOriginal,45.87,41,30,63
FastParserOriginal,53.1,51,38,75
FastParserOriginal,46.27,51,35,59
FastParserOriginal,46.5,40,33,70
FastParserOriginal,46.15,40,32,65
FastParserOriginal,44.83,41,32,68
FastParserOriginal,46.28,51,31,69
FastParserOriginal,46.24,41,35,69
FastParserOriginal,45.82,40,30,69
FastParserOriginal,45.4,40,31,72
FastParserOriginal,45.14,41,30,61
FastParserOriginal,44.19,41,35,62
FastParserOriginal,43.18,41,30,70
FastParserOriginal,43.74,41,30,73
FastParserOriginal,42.83,40,32,64
FastParserOriginal,42.66,41,30,64
FastParserOriginal,42.63,41,30,62
FastParserOriginal,46.5,40,32,70
FastParserOriginal,43.26,40,30,71
FastParserOriginal,43.54,41,31,60
FastParserOriginal,42.91,41,34,72
FastParserOriginal,45.48,41,34,61
FastParserOriginal,45.34,41,30,64
FastParserOriginal,45.62,41,33,63
FastParserOriginal,44.73,40,30,66
FastParserOriginal,43.11,41,30,61
FastParserOriginal,42.61,41,30,65
FastParserOriginal,43.08,41,30,59
FastParserOriginal,50.24,51,31,70
FastParserOriginal,44.95,40,30,62
FastParserOriginal,45.56,51,32,63
FastParserOriginal,45.01,40,32,61
FastParserOriginal,53.01,56,33,89
FastParserOriginal,50.85,51,32,78
FastParserOriginal,50.86,41,30,75
FastParserOriginal,52.17,51,32,82
FastParserOriginal,43.19,40,30,61
FastParserOriginal,42.86,40,32,62
FastParserOriginal,43.03,40,30,61
FastParserOriginal,48.41,50,34,67
FastParserOriginal,44.89,41,33,62
FastParserOriginal,43.42,40,30,60
FastParserOriginal,43.17,40,32,65
FastParserOriginal,53.16,52,37,82
FastParserOriginal,51.15,41,37,76
FastParserOriginal,51.57,50,36,69
FastParserOriginal,44.86,40,32,58
FastParserOriginal,46.03,40,33,59
FastParserOriginal,43.62,40,31,63
FastParserOriginal,42.28,41,30,64
FastParserOriginal,42.68,40,30,59
FastParserOriginal,45.7,40,32,71
FastParserOriginal,57.56,51,30,95
FastParserOriginal,50.36,51,31,77
FastParserOriginal,51.15,51,36,82
FastParserOriginal,42.05,40,30,59
FastParserOriginal,43.18,41,31,59
FastParserOriginal,55.21,51,41,120
FastParserOriginal,50.39,51,35,109
FastParserOriginal,48.06,51,32,85
FastParserOriginal,43.86,41,31,61
FastParserOriginal,46.75,41,35,63
FastParserOriginal,55.04,49,30,104
FastParserOriginal,50.75,41,34,83
FastParserOriginal,62.17,61,40,110
FastParserOriginal,52.69,50,38,139
FastParserOriginal,48.06,51,34,65
FastParserOriginal,51.2,51,36,134
FastParserOriginal,48.2,41,35,74
FastParserOriginal,47.25,40,33,80
FastParserOriginal,48.88,51,31,62
FastParserOriginal,44.49,40,33,57
FastParserOriginal,48,43,32,76
FastParserOriginal,43.62,40,31,66
FastParserOriginal,43.41,43,30,59
FastParserOriginal,48.68,51,30,76
FastParserOriginal,45.11,43,33,73
FastParserOriginal,48.04,51,35,68
FastParserOriginal,47.69,51,35,65
FastParserOriginal,47.63,47,31,69
FastParserOriginal,46.63,41,33,71
FastParserOriginal,42.59,40,30,64
FastParserBareBones,43.21,41,30,65
FastParserBareBones,44.27,41,34,68
FastParserBareBones,44.94,40,34,57
FastParserBareBones,45.34,41,33,72
FastParserBareBones,44.99,41,34,72
FastParserBareBones,44.86,41,35,62
FastParserBareBones,51.84,51,37,83
FastParserBareBones,60.09,61,36,95
FastParserBareBones,58.58,61,37,86
FastParserBareBones,58.06,61,37,93
FastParserBareBones,52.56,51,37,77
FastParserBareBones,69.53,70,44,194
FastParserBareBones,51.11,51,38,112
FastParserBareBones,48.32,52,35,61
FastParserBareBones,51.24,51,36,114
FastParserBareBones,48.06,50,36,61
FastParserBareBones,47.6,46,35,63
FastParserBareBones,47.84,50,36,61
FastParserBareBones,51.99,51,34,66
FastParserBareBones,49.66,51,36,76
FastParserBareBones,48.9,51,38,81
FastParserBareBones,47.14,41,36,72
FastParserBareBones,46.17,41,35,63
FastParserBareBones,46.88,40,32,63
FastParserBareBones,46.03,51,34,66
FastParserBareBones,46.6,51,37,61
FastParserBareBones,45.72,41,31,61
FastParserBareBones,45.81,41,35,62
FastParserBareBones,44.93,41,32,59
FastParserBareBones,43.91,41,32,58
FastParserBareBones,44.95,40,35,63
FastParserBareBones,43.36,41,30,63
FastParserBareBones,45.5,40,32,65
FastParserBareBones,42.95,41,32,59
FastParserBareBones,43.31,40,30,59
FastParserBareBones,43.25,41,30,60
FastParserBareBones,43.59,41,30,62
FastParserBareBones,43.13,40,30,61
FastParserBareBones,43.99,41,31,64
FastParserBareBones,47.56,51,35,63
FastParserBareBones,45.68,41,34,62
FastParserBareBones,47.09,41,32,71
FastParserBareBones,45.95,41,37,73
FastParserBareBones,43.64,41,33,63
FastParserBareBones,44.25,40,34,68
FastParserBareBones,43.82,41,33,59
FastParserBareBones,43.56,40,30,62
FastParserBareBones,46.78,41,32,67
FastParserBareBones,45.33,41,35,63
FastParserBareBones,46.22,47,34,64
FastParserBareBones,50.69,52,35,98
FastParserBareBones,53.05,50,32,86
FastParserBareBones,51.4,46,35,81
FastParserBareBones,50.96,50,33,86
FastParserBareBones,45.38,40,32,68
FastParserBareBones,43.25,40,30,62
FastParserBareBones,43.37,41,33,64
FastParserBareBones,48.95,51,33,73
FastParserBareBones,50.43,51,34,69
FastParserBareBones,43.3,40,31,56
FastParserBareBones,43.47,40,33,56
FastParserBareBones,53.3,51,33,90
FastParserBareBones,52.47,51,34,82
FastParserBareBones,51.38,50,34,72
FastParserBareBones,45.96,41,32,71
FastParserBareBones,46.53,51,34,62
FastParserBareBones,42.76,40,30,55
FastParserBareBones,46.24,41,35,73
FastParserBareBones,42.72,40,30,60
FastParserBareBones,45.48,41,32,65
FastParserBareBones,58.36,51,38,102
FastParserBareBones,50.61,51,30,73
FastParserBareBones,53.76,51,30,81
FastParserBareBones,47.99,40,33,64
FastParserBareBones,43.83,41,32,63
FastParserBareBones,54.33,51,40,114
FastParserBareBones,53.41,51,36,83
FastParserBareBones,49.62,51,35,101
FastParserBareBones,49.11,41,34,90
FastParserBareBones,43.66,40,33,60
FastParserBareBones,52.22,51,34,132
FastParserBareBones,45.26,51,34,62
FastParserBareBones,55.69,51,36,99
FastParserBareBones,56.09,51,38,79
FastParserBareBones,49.91,51,37,99
FastParserBareBones,55.08,51,39,80
FastParserBareBones,49.02,51,35,68
FastParserBareBones,46.68,47,35,61
FastParserBareBones,53.88,51,38,111
FastParserBareBones,47.33,43,35,61
FastParserBareBones,47.07,40,33,90
FastParserBareBones,45.35,44,33,62
FastParserBareBones,46.07,47,31,60
FastParserBareBones,56.78,62,36,85
FastParserBareBones,45.76,47,35,63
FastParserBareBones,47.41,51,35,61
FastParserBareBones,47.12,46,31,72
FastParserBareBones,46.75,47,32,65
FastParserBareBones,43.55,50,32,61
FastParserBareBones,43.83,41,32,76
FastParserBareBonesSwitch,42.09,41,30,55
FastParserBareBonesSwitch,43.53,41,31,62
FastParserBareBonesSwitch,44.25,40,34,61
FastParserBareBonesSwitch,44.18,41,32,67
FastParserBareBonesSwitch,43.84,40,33,67
FastParserBareBonesSwitch,44.8,40,33,61
FastParserBareBonesSwitch,57.71,40,35,106
FastParserBareBonesSwitch,62.2,62,38,85
FastParserBareBonesSwitch,56.95,51,30,103
FastParserBareBonesSwitch,53.03,40,33,102
FastParserBareBonesSwitch,60.18,51,41,99
FastParserBareBonesSwitch,56.9,58,39,110
FastParserBareBonesSwitch,47.87,51,35,62
FastParserBareBonesSwitch,48.29,51,34,114
FastParserBareBonesSwitch,64.32,52,44,153
FastParserBareBonesSwitch,47.55,50,32,65
FastParserBareBonesSwitch,47.47,41,33,70
FastParserBareBonesSwitch,47.13,45,37,66
FastParserBareBonesSwitch,49.26,41,35,71
FastParserBareBonesSwitch,48.93,51,35,64
FastParserBareBonesSwitch,46.57,41,35,62
FastParserBareBonesSwitch,45.58,41,34,62
FastParserBareBonesSwitch,46.19,44,33,62
FastParserBareBonesSwitch,45.58,41,31,69
FastParserBareBonesSwitch,46.69,46,35,64
FastParserBareBonesSwitch,45.82,51,34,63
FastParserBareBonesSwitch,46.84,51,32,77
FastParserBareBonesSwitch,45.14,41,35,59
FastParserBareBonesSwitch,44.47,41,30,63
FastParserBareBonesSwitch,44.07,41,31,63
FastParserBareBonesSwitch,42.88,41,30,62
FastParserBareBonesSwitch,42.76,41,30,57
FastParserBareBonesSwitch,46.66,41,30,72
FastParserBareBonesSwitch,42.76,41,30,68
FastParserBareBonesSwitch,42.98,41,33,58
FastParserBareBonesSwitch,42.88,41,30,60
FastParserBareBonesSwitch,42.75,41,30,63
FastParserBareBonesSwitch,43.62,41,31,58
FastParserBareBonesSwitch,42.63,41,30,61
FastParserBareBonesSwitch,46.72,51,30,81
FastParserBareBonesSwitch,44.38,41,31,75
FastParserBareBonesSwitch,45.33,41,35,72
FastParserBareBonesSwitch,48.33,51,31,77
FastParserBareBonesSwitch,43.27,41,31,60
FastParserBareBonesSwitch,42.33,40,30,65
FastParserBareBonesSwitch,42.87,41,30,64
FastParserBareBonesSwitch,42.79,40,30,61
FastParserBareBonesSwitch,45.82,51,35,65
FastParserBareBonesSwitch,45.34,40,33,66
FastParserBareBonesSwitch,45.58,40,33,74
FastParserBareBonesSwitch,54.07,51,34,95
FastParserBareBonesSwitch,50.49,50,34,71
FastParserBareBonesSwitch,51.8,51,30,83
FastParserBareBonesSwitch,51.84,51,30,75
FastParserBareBonesSwitch,43.24,40,34,72
FastParserBareBonesSwitch,43.22,41,31,57
FastParserBareBonesSwitch,42.69,40,30,61
FastParserBareBonesSwitch,44.66,41,31,63
FastParserBareBonesSwitch,76.75,51,33,228
FastParserBareBonesSwitch,42.78,41,31,58
FastParserBareBonesSwitch,43.08,40,30,75
FastParserBareBonesSwitch,58.75,56,40,103
FastParserBareBonesSwitch,51.2,51,30,73
FastParserBareBonesSwitch,43,41,30,60
FastParserBareBonesSwitch,44.29,41,32,57
FastParserBareBonesSwitch,46.75,40,33,93
FastParserBareBonesSwitch,43.01,40,30,64
FastParserBareBonesSwitch,45.24,41,30,63
FastParserBareBonesSwitch,42.9,40,30,72
